"TOA5","KIHS_CosmicRay_PyeongChang","CR300","20352","CR310.Std.10.07","CPU:240801_KIHS_Hydro_mod_WS500 _PyeongChang.CR300","12929","Hour1_PyeongChang"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2024-08-01 12:00:00",0,26.99,79.57,945.75,0.773,3.5,25.66,955
"2024-08-01 13:00:00",1,27.72,78.82,945.4167,1.287,5.4,48.16,1265
"2024-08-01 14:00:00",2,28.12,76.92,945.2,1.057,4.4,47.19,1373
"2024-08-01 15:00:00",3,28.43,76.08,944.8766,1.12,3.9,60.75,1298
"2024-08-01 16:00:00",4,28.48,76.61,944.14,1.233,4.5,38,1403
"2024-08-01 17:00:00",5,28.21,78.47,943.6667,0.973,3.6,49.74,1405
"2024-08-01 18:00:00",6,27.63,81.8,943.7,0.807,3.6,62.16,1384
"2024-08-01 19:00:00",7,26.77,87.2,944.2067,0.637,2.6,122.4,1356
"2024-08-01 20:00:00",8,25.96,89.4,944.31,0.747,2.3,172.5,1359
"2024-08-01 21:00:00",9,24.86,94.2,944.7733,0.527,1.9,161.7,1352
"2024-08-01 22:00:00",10,24.52,96.7,945.1467,0.37,1.2,17.27,1394
"2024-08-01 23:00:00",11,24.57,97.6,945.3433,0.273,1.4,306.9,1347
"2024-08-02 00:00:00",12,24.61,98,945.47,0.36,2,329.2,1337
"2024-08-02 01:00:00",13,24.64,98,945.48,0.437,2.8,22.93,1338
"2024-08-02 02:00:00",14,24.36,99.1,945.08,0.533,2.7,78.11,1403
"2024-08-02 03:00:00",15,24.13,99.3,944.73,0.44,3.4,277.9,1383
"2024-08-02 04:00:00",16,23.77,99.9,944.79,0.343,1.4,89.7,1382
"2024-08-02 05:00:00",17,23.66,100,944.7466,0.1,2.3,356,1311
"2024-08-02 06:00:00",18,23.79,100,944.8967,0.533,2.4,17.9,1308
"2024-08-02 07:00:00",19,24.4,99.9,944.95,0.623,2.9,159.4,1386
"2024-08-02 08:00:00",20,25.12,98.9,945.22,0.74,3.6,40.42,1332
"2024-08-02 09:00:00",21,25.47,97.3,945.2767,0.667,3.6,25.35,1329
"2024-08-02 10:00:00",22,26.8,89.7,945.07,1.17,3.9,68.41,1353
"2024-08-02 11:00:00",23,27.66,83.9,944.9833,1.01,4.3,57.99,1358
"2024-08-02 12:00:00",24,28.26,81.6,944.82,1.157,4.3,46.34,1328
"2024-08-02 13:00:00",25,28.84,79.72,944.6367,1.147,4.5,357.4,1347
"2024-08-02 14:00:00",26,29.41,74.92,944.5533,1.37,4.2,44.82,1399
"2024-08-02 15:00:00",27,29.17,77.41,944.38,1.123,3.4,38.64,1321
"2024-08-02 16:00:00",28,29.3,76.98,944.32,1.007,4,74.86,1373
"2024-08-02 17:00:00",29,28.97,79.95,944.0267,0.673,2.9,245.8,1342
"2024-08-02 18:00:00",30,27.68,84.4,943.9233,0.883,3.7,187.3,1401
"2024-08-02 19:00:00",31,26.23,94.2,944.59,0.83,4.6,63.04,1304
"2024-08-02 20:00:00",32,25.07,96.3,945.28,0.597,4.4,157.1,1260
"2024-08-02 21:00:00",33,24.39,98.9,945.8,0.49,1.6,358.2,1344
"2024-08-02 22:00:00",34,24.2,100,946.15,0.46,2.2,51.76,1284
"2024-08-02 23:00:00",35,23.74,100,946.44,0.307,1.5,13.04,1326
"2024-08-03 00:00:00",36,23.65,100,946.9733,0.367,1.3,316.1,1365
"2024-08-03 01:00:00",37,23.54,100,947.0433,0.36,1.3,2.483,1327
"2024-08-03 02:00:00",38,23.59,100,946.95,0.357,1.4,6.222,1348
"2024-08-03 03:00:00",39,23.51,100,946.91,0.613,1.9,273.7,1350
"2024-08-03 04:00:00",40,23.45,100,946.8734,0.32,1.4,14.33,1344
"2024-08-03 05:00:00",41,23.48,100,947.1234,0.297,1.3,11.43,1376
"2024-08-03 06:00:00",42,23.35,100,947.2967,0.283,1.4,15.78,1362
"2024-08-03 07:00:00",43,23.44,100,947.68,0.54,2.4,59.46,1322
"2024-08-03 08:00:00",44,23.77,100,947.94,1.177,4.8,100.2,1397
"2024-08-03 09:00:00",45,24.2,100,948.05,0.967,4.5,106,1360
"2024-08-03 10:00:00",46,25.1,99.6,948.3,0.98,5,78.76,1330
"2024-08-03 11:00:00",47,27.43,82.8,948.2267,1.203,4.3,73.13,1422
"2024-08-03 12:00:00",48,28.91,70.28,948.0566,1.16,4.9,6.707,1396
"2024-08-03 13:00:00",49,29.56,67.18,947.7567,1.19,4.8,150.5,1342
"2024-08-03 14:00:00",50,30.15,66.23,947.4867,1.1,4.4,252.5,1393
"2024-08-03 15:00:00",51,30.48,65.44,947.3066,1.13,4.1,242.8,1286
"2024-08-03 16:00:00",52,30.43,65.46,947.1766,1.217,4.4,210.4,1349
"2024-08-03 17:00:00",53,28.9,72.56,946.9533,1.067,3,195.8,1341
"2024-08-03 18:00:00",54,27.74,78.78,946.9267,1.027,3,188.9,1435
"2024-08-03 19:00:00",55,26.37,85.3,947.1467,0.827,2.2,184.3,1386
"2024-08-03 20:00:00",56,25.2,92.2,947.7867,0.82,2.7,150,1404
"2024-08-03 21:00:00",57,24.4,96.4,948.46,0.493,1.5,182.7,1407
"2024-08-03 22:00:00",58,23.63,99.2,949.05,0.527,1.1,181,1259
"2024-08-03 23:00:00",59,23.28,100,949.32,0.343,0.9,183.9,1340
"2024-08-04 00:00:00",60,22.93,100,949.46,0.263,1,200.7,1351
"2024-08-04 01:00:00",61,22.58,100,949.3567,0.283,1.1,206,1320
"2024-08-04 02:00:00",62,22.27,100,949.1567,0.237,1.4,162.9,1351
"2024-08-04 03:00:00",63,22.26,100,948.9733,0.487,1.4,241.2,1404
"2024-08-04 04:00:00",64,22.06,100,948.8867,0.323,2.2,287.6,1383
"2024-08-04 05:00:00",65,22.27,100,949.2567,0.55,1.9,250.3,1283
"2024-08-04 06:00:00",66,22.17,100,949.6733,0.52,2,287.4,1314
"2024-08-04 07:00:00",67,21.94,100,949.7067,0.807,3.1,274.4,1288
"2024-08-04 08:00:00",68,22.91,98.4,949.9467,1,3.1,285.1,1360
"2024-08-04 09:00:00",69,25.19,89,949.7466,0.77,2.5,322.1,1376
"2024-08-04 10:00:00",70,28.18,78.29,949.5433,0.723,2.7,5.81,1327
"2024-08-04 11:00:00",71,29.52,70.61,949.3467,0.757,2.5,359.5,1382
"2024-08-04 12:00:00",72,30.97,63.51,949.1866,0.877,5.4,53.62,1320
"2024-08-04 13:00:00",73,31.85,58.19,948.8533,1.22,5.4,60.9,1396
"2024-08-04 14:00:00",74,31.67,61.35,948.44,1.137,3.5,32.05,1381
"2024-08-04 15:00:00",75,31.22,66.81,947.9767,0.937,2.9,8.92,1363
"2024-08-04 16:00:00",76,30.67,71.01,947.54,0.7,3.3,326.9,1405
"2024-08-04 17:00:00",77,29.24,74.93,947.4667,1.047,3.8,259.9,1393
"2024-08-04 18:00:00",78,29.06,74.04,947.66,0.917,4.1,306.4,1363
"2024-08-04 19:00:00",79,27.67,78.48,948.4033,0.897,4.6,293.2,1436
"2024-08-04 20:00:00",80,26.03,85.1,948.42,0.983,4.9,247.1,1337
"2024-08-04 21:00:00",81,25.08,89.6,948.9667,0.98,4.9,243,1371
"2024-08-04 22:00:00",82,24.63,91.9,949.4733,0.76,2.1,219,1401
"2024-08-04 23:00:00",83,24.06,94.7,949.5067,0.563,1.9,184.3,1389
"2024-08-05 00:00:00",84,23.36,97.9,949.5133,0.457,1,195.7,1403
"2024-08-05 01:00:00",85,23.17,98.7,949.5067,0.487,1.6,213.8,1358
"2024-08-05 02:00:00",86,22.84,99.6,949.4233,0.377,1.1,204,1314
"2024-08-05 03:00:00",87,22.37,100,949.2867,0.287,0.9,216.3,1383
"2024-08-05 04:00:00",88,22.38,100,949.18,0.233,1.1,60.01,1420
"2024-08-05 05:00:00",89,22.35,100,949.2067,0.38,1.6,252.9,1364
"2024-08-05 06:00:00",90,22.21,100,949.36,0.383,1.6,172.2,1321
"2024-08-05 07:00:00",91,22.81,100,949.6667,0.137,1.1,358.8,1461
"2024-08-05 08:00:00",92,23.71,97.8,949.4733,0.35,1.3,0.03,1385
"2024-08-05 09:00:00",93,26.11,86.3,948.54,0.803,3.7,25.5,1434
"2024-08-05 10:00:00",94,27.81,81.7,948.3367,1,3.7,43.52,1405
"2024-08-05 11:00:00",95,29.11,76.97,948.41,1.39,5.2,39.94,1434
"2024-08-05 12:00:00",96,29.92,73.17,948.4333,1.25,4.1,53.13,1340
"2024-08-05 13:00:00",97,28.64,79.13,948.2833,1.087,4.4,348.1,1385
"2024-08-05 14:00:00",98,28.03,84.6,948.01,0.923,4,17.11,1344
"2024-08-05 15:00:00",99,25.98,93.3,947.9633,0.827,2.7,89.9,1346
"2024-08-05 16:00:00",100,26.89,89,947.5767,0.593,2.1,357.4,1401
"2024-08-05 17:00:00",101,25.7,92.6,947.7233,0.477,1.5,358.4,1352
"2024-08-05 18:00:00",102,25.17,95.6,947.4434,0.393,1.3,9.4,1381
"2024-08-05 19:00:00",103,25.07,97.4,947.39,0.327,2.4,95.7,1382
"2024-08-05 20:00:00",104,24.51,98.3,948.1733,0.39,2.4,68.02,1377
"2024-08-05 21:00:00",105,24.3,99.4,949.09,0.607,3.9,47.79,1391
"2024-08-05 22:00:00",106,23.87,90.8,949.9266,1.157,4.4,112.8,1391
"2024-08-05 23:00:00",107,22.52,97.7,950.3167,0.643,2.5,298.3,1347
"2024-08-06 00:00:00",108,21.68,98.7,949.0333,0.597,2.8,273.7,1387
"2024-08-06 01:00:00",109,21.22,100,947.8633,0.533,2.2,124.4,1399
"2024-08-06 02:00:00",110,21.1,100,947.5067,0.457,2.2,131.2,1416
"2024-08-06 03:00:00",111,21.16,100,947.7933,0.647,2.2,221.1,1369
"2024-08-06 04:00:00",112,21.36,100,948.1166,0.11,1.8,2.152,1379
"2024-08-06 05:00:00",113,21.33,100,948.6767,0.22,1,284.8,1365
"2024-08-06 06:00:00",114,21.01,100,948.9833,0.193,0.8,14.98,1315
"2024-08-06 07:00:00",115,21.14,100,949.18,0.583,2.3,287,1404
"2024-08-06 08:00:00",116,21.81,98.9,949.31,0.66,2.4,314.2,1311
"2024-08-06 09:00:00",117,22.78,95.5,949.36,0.933,3.3,309,1369
"2024-08-06 10:00:00",118,24.41,89.5,949.5733,0.697,3,6.778,1433
"2024-08-06 11:00:00",119,26.46,81.2,949.4033,0.773,2.3,39.24,1351
"2024-08-06 12:00:00",120,27.9,75.36,949.0733,0.743,2.2,38.55,1341
"2024-08-06 13:00:00",121,28.37,74.94,948.6133,1.127,4.6,308.9,1367
"2024-08-06 14:00:00",122,29.79,67.5,947.9333,1.327,4.1,288.2,1432
"2024-08-06 15:00:00",123,30.41,65.5,947.51,1.04,3.4,293.8,1359
"2024-08-06 16:00:00",124,29.48,70.03,947.4434,1.163,4.5,245.5,1454
"2024-08-06 17:00:00",125,28.38,70.93,947.6234,1.447,4.5,277.4,1442
"2024-08-06 18:00:00",126,27.6,75.98,947.6133,0.63,2.5,264.7,1423
"2024-08-06 19:00:00",127,25.78,84.7,947.4867,0.76,2.4,188.2,1418
"2024-08-06 20:00:00",128,23.41,93.1,947.5833,0.753,2,161.3,1381
"2024-08-06 21:00:00",129,22.28,96.2,947.9333,0.657,1.6,175.4,1383
"2024-08-06 22:00:00",130,21.68,98.3,948.2767,0.583,1.5,163.9,1360
"2024-08-06 23:00:00",131,21.28,99.4,948.1833,0.52,1.4,183.3,1428
"2024-08-07 00:00:00",132,21.03,99.9,948.11,0.43,1.1,202.8,1332
"2024-08-07 01:00:00",133,20.83,100,948.0967,0.3,2.4,334.7,1396
"2024-08-07 02:00:00",134,20.62,100,948.31,0.297,1.8,227.7,1418
"2024-08-07 03:00:00",135,20.38,100,948.4333,0.347,0.8,199.8,1410
"2024-08-07 04:00:00",136,19.97,100,948.16,0.203,0.8,332.1,1428
"2024-08-07 05:00:00",137,19.81,100,948.0634,0.113,1.1,341.2,1360
"2024-08-07 06:00:00",138,20.09,100,948.3467,0.427,2.3,285.5,1434
"2024-08-07 07:00:00",139,20.31,100,948.3433,0.31,1.3,324.1,1344
"2024-08-07 08:00:00",140,21.59,99.7,948.34,0.5,1.7,335.9,1406
"2024-08-07 09:00:00",141,24.63,88.7,948.0433,0.637,1.9,6.1,1474
"2024-08-07 10:00:00",142,26.21,83.1,947.9133,0.793,2.8,71.27,1437
"2024-08-07 11:00:00",143,28.46,72.51,947.6067,0.743,2.9,26.53,1442
"2024-08-07 12:00:00",144,29.43,66.06,947.23,1.307,4.9,296.2,1402
"2024-08-07 13:00:00",145,28.16,69.74,947.0767,1.55,6.3,239.3,1325
"2024-08-07 14:00:00",146,26.79,72.61,946.8567,1.62,6.9,256.4,1499
"2024-08-07 15:00:00",147,28.69,62.94,946.3467,1.347,5.1,316.1,1431
"2024-08-07 16:00:00",148,29.24,64.22,945.7733,1.077,3.9,298.5,1433
"2024-08-07 17:00:00",149,28.67,66.29,945.47,1.31,5.6,318.7,1435
"2024-08-07 18:00:00",150,27.82,71.99,945.2534,0.837,3.9,210.2,1427
"2024-08-07 19:00:00",151,25.38,85.1,945.32,0.747,2.9,192.4,1447
"2024-08-07 20:00:00",152,23.3,93.4,945.3433,0.64,2,163.6,1463
"2024-08-07 21:00:00",153,22.58,97.2,945.7733,0.593,1.2,176.5,1489
"2024-08-07 22:00:00",154,21.9,99.3,945.97,0.563,1.1,173.5,1485
"2024-08-07 23:00:00",155,21.76,99.9,946.0333,0.527,1.3,182.3,1434
"2024-08-08 00:00:00",156,21.59,100,945.9534,0.45,1.1,171.8,1525
"2024-08-08 01:00:00",157,21.48,100,945.92,0.33,1,174.8,1395
"2024-08-08 02:00:00",158,21.31,100,945.8167,0.357,1,175.9,1383
"2024-08-08 03:00:00",159,21.16,100,945.67,0.25,0.8,153.7,1374
"2024-08-08 04:00:00",160,21.08,100,945.5333,0.217,0.9,26.58,1390
"2024-08-08 05:00:00",161,21.48,100,945.6567,0.067,0.9,0,1469
"2024-08-08 06:00:00",162,21.66,100,945.71,0.39,1.6,314.9,1474
"2024-08-08 07:00:00",163,21.89,100,945.87,0.207,1.6,21.46,1405
"2024-08-08 08:00:00",164,22.46,100,945.9167,0.46,2.3,14.32,1407
"2024-08-08 09:00:00",165,23.32,98.8,945.92,0.737,2.8,100.4,1441
"2024-08-08 10:00:00",166,24.76,90.2,945.43,0.737,3.5,29.08,1408
"2024-08-08 11:00:00",167,26.06,81.6,945.2133,0.773,3.2,55.13,1474
"2024-08-08 12:00:00",168,26.96,79.27,945.1467,1.047,4.1,71.05,1431
"2024-08-08 13:00:00",169,27.33,74.39,944.9867,0.67,3.9,305,1503
"2024-08-08 14:00:00",170,27.26,72.89,945.03,0.86,3.5,265.2,1499
"2024-08-08 15:00:00",171,27.54,71.05,944.5433,0.76,3.1,229.5,1456
"2024-08-08 16:00:00",172,27.52,72.18,944.1833,0.797,2.7,259.5,1446
"2024-08-08 17:00:00",173,27.22,72.7,944.0267,0.667,3,284.5,1515
"2024-08-08 18:00:00",174,26.28,81.4,944.25,0.6,2.5,186.7,1518
"2024-08-08 19:00:00",175,25.23,85.7,944.42,0.67,2.4,166.7,1399
"2024-08-08 20:00:00",176,23.29,94.1,944.6633,0.697,1.9,178.3,1483
"2024-08-08 21:00:00",177,22.29,97.9,945.21,0.567,1.3,164.7,1452
"2024-08-08 22:00:00",178,21.99,99.7,945.4,0.573,1.8,189.2,1391
"2024-08-08 23:00:00",179,21.78,100,945.7067,0.45,1.4,176.5,1452
"2024-08-09 00:00:00",180,21.19,100,945.5533,0.403,1,180.9,1395
"2024-08-09 01:00:00",181,21.22,100,945.33,0.357,1.5,268.6,1448
"2024-08-09 02:00:00",182,21.48,100,945.3033,0.133,1.3,353.7,1428
"2024-08-09 03:00:00",183,21.4,100,945.4033,0.553,1.7,245.1,1447
"2024-08-09 04:00:00",184,21.1,100,945.2466,0.457,2.3,329.4,1463
"2024-08-09 05:00:00",185,21.24,100,945.5067,0.333,1.5,266.2,1398
"2024-08-09 06:00:00",186,21.16,100,945.45,0.137,1.1,347.6,1443
"2024-08-09 07:00:00",187,21.21,100,945.92,0.1,0.9,17.77,1464
"2024-08-09 08:00:00",188,21.72,100,946.1067,0.287,2.2,334.9,1517
"2024-08-09 09:00:00",189,23.53,94.3,945.7867,0.917,3.2,311.3,1480
"2024-08-09 10:00:00",190,26.35,78.26,945.6333,1.16,3.9,323.4,1520
"2024-08-09 11:00:00",191,28.11,68.06,945.2967,1.07,3.9,320.5,1426
"2024-08-09 12:00:00",192,29.45,64.29,944.8367,0.923,3.2,13.27,1512
"2024-08-09 13:00:00",193,30.23,63.44,944.5433,1.433,5.4,49.44,1480
"2024-08-09 14:00:00",194,30.17,64.3,944.3667,1.217,4.4,83,1542
"2024-08-09 15:00:00",195,30.94,58.06,943.9467,1.167,4.1,61.72,1443
"2024-08-09 16:00:00",196,31.44,55.9,943.5967,0.76,3.2,66.14,1467
"2024-08-09 17:00:00",197,30.09,64.1,943.5233,0.817,3.4,184.1,1509
"2024-08-09 18:00:00",198,28.07,73.03,943.57,1.027,3.5,188.8,1563
"2024-08-09 19:00:00",199,27.07,78.06,944.0867,1.157,4.9,316.9,1457
"2024-08-09 20:00:00",200,24.95,85.5,944.8066,0.947,4.5,297.5,1474
"2024-08-09 21:00:00",201,24.08,86,945.27,0.733,4.5,274.5,1446
"2024-08-09 22:00:00",202,22.98,94.8,945.5,0.483,1.7,302.9,1513
"2024-08-09 23:00:00",203,22.38,96.6,945.3967,0.39,1.7,270.1,1452
"2024-08-10 00:00:00",204,21.9,96.8,945.2667,0.577,2,223.7,1460
"2024-08-10 01:00:00",205,21.26,99.4,945.09,0.397,1.1,197.7,1507
"2024-08-10 02:00:00",206,20.85,100,945.18,0.33,1.7,217.9,1503
"2024-08-10 03:00:00",207,20.61,100,945.04,0.31,1.3,231,1453
"2024-08-10 04:00:00",208,20.44,100,944.94,0.203,2.3,330.8,1456
"2024-08-10 05:00:00",209,20.92,100,944.9833,0.793,2.7,266.7,1471
"2024-08-10 06:00:00",210,20.94,100,945.2534,0.58,2,240.1,1491
"2024-08-10 07:00:00",211,21.28,100,945.6166,0.51,1.6,274.5,1508
"2024-08-10 08:00:00",212,22.32,97.5,945.98,0.76,2.8,309.7,1417
"2024-08-10 09:00:00",213,24.79,87.2,945.73,0.85,2.5,337,1418
"2024-08-10 10:00:00",214,26.99,78.96,945.2267,0.767,2.8,19.77,1457
"2024-08-10 11:00:00",215,28.56,70.28,944.8333,0.973,3.2,13.57,1529
"2024-08-10 12:00:00",216,29.6,64.83,944.5,1.08,3.9,62.54,1464
"2024-08-10 13:00:00",217,30.1,62.89,944.15,1.28,5,52.04,1525
"2024-08-10 14:00:00",218,30.94,54.87,943.8367,1.217,5.6,77.57,1493
"2024-08-10 15:00:00",219,31.3,51.55,943.5167,1.21,5.4,102.4,1485
"2024-08-10 16:00:00",220,31.55,51.83,943.39,0.867,4.7,118.2,1448
"2024-08-10 17:00:00",221,30.95,57.4,943.1567,0.85,4.7,184.3,1496
"2024-08-10 18:00:00",222,28.29,70.39,943.1133,0.947,2.9,172.1,1558
"2024-08-10 19:00:00",223,25.9,80.7,943.45,0.98,3.5,168.9,1518
"2024-08-10 20:00:00",224,24.67,90,943.8533,0.61,1.7,175.5,1457
"2024-08-10 21:00:00",225,24.54,91.7,944.2333,0.5,1.6,199,1469
"2024-08-10 22:00:00",226,23.67,94.7,944.65,0.607,1.4,164.6,1462
"2024-08-10 23:00:00",227,22.8,98.8,944.6733,0.457,1.2,181.9,1404
"2024-08-11 00:00:00",228,22.28,99.9,944.6633,0.407,0.9,163.6,1484
"2024-08-11 01:00:00",229,21.86,100,944.5067,0.467,0.8,162.8,1472
"2024-08-11 02:00:00",230,21.49,100,944.15,0.45,0.8,174.2,1436
"2024-08-11 03:00:00",231,21.66,100,944.1433,0.223,0.8,146.5,1402
"2024-08-11 04:00:00",232,21.81,100,944.0967,0.043,0.8,3.734,1513
"2024-08-11 05:00:00",233,21.67,100,944.0667,0.063,0.8,4.851,1485
"2024-08-11 06:00:00",234,21.79,100,944.14,0.04,0.7,354.7,1556
"2024-08-11 07:00:00",235,22.01,100,944.44,0.06,1,8.89,1489
"2024-08-11 08:00:00",236,22.79,100,944.74,0.573,2.1,24.93,1476
"2024-08-11 09:00:00",237,24.81,90.8,944.8834,0.773,2.6,27.13,1535
"2024-08-11 10:00:00",238,26.53,79.32,945.0734,0.76,3.1,42.84,1568
"2024-08-11 11:00:00",239,27.97,73.56,944.7167,1.317,4.6,63.16,1498
"2024-08-11 12:00:00",240,28.9,69.77,944.1934,1.213,4.5,49.76,1552
"2024-08-11 13:00:00",241,29.28,69.22,943.6133,0.733,2.9,84.7,1527
"2024-08-11 14:00:00",242,29.85,67.27,943.3767,0.793,3,162.2,1550
"2024-08-11 15:00:00",243,29.63,69.84,943.1667,0.71,2.5,184.7,1452
"2024-08-11 16:00:00",244,30.35,67.5,943.03,0.633,2.4,174.3,1489
"2024-08-11 17:00:00",245,29.98,70.4,943.0433,0.8,2.3,182.3,1511
"2024-08-11 18:00:00",246,29.34,74.74,943.0433,0.707,3.4,161.1,1451
"2024-08-11 19:00:00",247,27.4,81,943.3033,0.777,3,212,1501
"2024-08-11 20:00:00",248,25.27,89.8,943.78,0.627,2.1,167.8,1470
"2024-08-11 21:00:00",249,24.18,94,944.33,0.663,2.1,169.9,1440
"2024-08-11 22:00:00",250,23.6,96.2,944.5,0.507,1.6,172.4,1449
"2024-08-11 23:00:00",251,23.15,98.5,944.48,0.497,1.4,190.7,1464
"2024-08-12 00:00:00",252,22.97,98,944.74,0.49,2.2,240.9,1472
"2024-08-12 01:00:00",253,22.61,98.9,944.6733,0.64,2.2,226.4,1492
"2024-08-12 02:00:00",254,21.87,100,944.5667,0.287,1.4,293.8,1441
"2024-08-12 03:00:00",255,21.51,99.9,944.6,0.33,1.3,250.2,1379
"2024-08-12 04:00:00",256,20.96,100,944.6533,0.18,0.8,217.7,1521
"2024-08-12 05:00:00",257,20.6,100,944.7867,0.2,1,259,1486
"2024-08-12 06:00:00",258,20.61,100,945.1967,0.393,1.8,259.3,1509
"2024-08-12 07:00:00",259,21.02,99.6,945.6833,0.327,2.3,285.4,1446
"2024-08-12 08:00:00",260,22.79,93.6,945.9133,0.573,1.8,354.4,1453
"2024-08-12 09:00:00",261,25.4,83.9,945.7767,0.663,2,14.15,1451
"2024-08-12 10:00:00",262,27.93,77.5,945.6833,0.8,2.3,28.69,1445
"2024-08-12 11:00:00",263,29.96,66.82,945.4366,1.093,3.7,309.2,1463
"2024-08-12 12:00:00",264,30.94,60.44,945.14,0.953,3.1,334,1502
"2024-08-12 13:00:00",265,32.17,55.62,944.82,1.13,4.1,17.33,1516
"2024-08-12 14:00:00",266,29.9,67.86,944.8134,0.993,4.1,19.03,1508
"2024-08-12 15:00:00",267,28.74,76.34,944.9133,0.963,4.2,85.9,1511
"2024-08-12 16:00:00",268,28.32,82.8,944.8967,1.023,4.2,106.5,1463
"2024-08-12 17:00:00",269,28.32,78.33,945.02,0.703,3,294.2,1450
"2024-08-12 18:00:00",270,27.56,75.19,945.48,0.93,3.8,259.2,1499
"2024-08-12 19:00:00",271,26.32,80.9,945.8134,0.717,3.2,239.5,1495
"2024-08-12 20:00:00",272,25.37,83.8,946.25,0.75,3.2,207,1500
"2024-08-12 21:00:00",273,23.93,90.7,947.1,0.65,1.7,182,1600
"2024-08-12 22:00:00",274,23.27,93,947.5933,0.647,1.2,178.9,1424
"2024-08-12 23:00:00",275,22.34,96.5,947.6033,0.563,1.6,219.2,1460
"2024-08-13 00:00:00",276,21.92,97.6,947.74,0.473,1.6,215.4,1472
"2024-08-13 01:00:00",277,21.5,98.7,947.8134,0.45,1.6,197.4,1480
"2024-08-13 02:00:00",278,21.16,98.9,947.95,0.477,1.1,218.1,1476
"2024-08-13 03:00:00",279,20.66,98.5,948.16,0.493,1.7,243.4,1490
"2024-08-13 04:00:00",280,20.08,98.4,948.4133,0.437,1.3,233.3,1473
"2024-08-13 05:00:00",281,19.28,98.5,948.7433,0.59,1.8,224,1484
"2024-08-13 06:00:00",282,18.74,98.4,949.17,0.4,2.1,249.3,1478
"2024-08-13 07:00:00",283,19.01,97,949.67,0.58,2.2,272.5,1492
"2024-08-13 08:00:00",284,20.9,89.4,949.84,0.657,2.2,316.5,1527
"2024-08-13 09:00:00",285,23.47,77.45,949.8734,0.78,3.2,341.3,1462
"2024-08-13 10:00:00",286,26.1,62.27,949.7466,0.967,3.2,354.7,1476
"2024-08-13 11:00:00",287,28.73,57.07,949.3734,0.86,2.8,11.01,1526
"2024-08-13 12:00:00",288,30.52,55.81,948.8033,0.937,3.5,305,1469
"2024-08-13 13:00:00",289,31.76,50.93,948.3467,1.1,4,319.3,1519
"2024-08-13 14:00:00",290,32.41,49.96,947.9266,1.22,4.5,335.7,1522
"2024-08-13 15:00:00",291,32.82,50.2,947.5233,1.127,4.5,300.7,1514
"2024-08-13 16:00:00",292,32.76,50.88,947.4,1.043,4.6,331.9,1471
"2024-08-13 17:00:00",293,31.42,53.49,947.31,0.903,3.6,306.7,1457
"2024-08-13 18:00:00",294,27.27,70.06,947.28,0.94,2.7,211.8,1472
"2024-08-13 19:00:00",295,25.72,75.45,947.7967,0.77,2.7,191.4,1607
"2024-08-13 20:00:00",296,24.27,78.75,948.32,0.7,2.4,186.4,1503
"2024-08-13 21:00:00",297,22.58,87.2,949.1334,0.687,1.6,176.7,1582
"2024-08-13 22:00:00",298,21.94,90.1,949.4866,0.62,2.1,182.9,1494
"2024-08-13 23:00:00",299,21.52,94.5,949.4966,0.463,1.4,211,1516
"2024-08-14 00:00:00",300,21.06,96.6,949.5267,0.563,2,218,1449
"2024-08-14 01:00:00",301,20.73,98.7,949.6367,0.4,1.5,193.4,1405
"2024-08-14 02:00:00",302,20.45,99.3,949.56,0.323,2.3,267,1500
"2024-08-14 03:00:00",303,20.32,99.5,949.63,0.47,2.3,265.2,1536
"2024-08-14 04:00:00",304,20.06,99.7,949.5533,0.473,2.3,277.3,1518
"2024-08-14 05:00:00",305,19.71,99.9,949.48,0.537,2.5,303.4,1549
"2024-08-14 06:00:00",306,19.63,99.4,949.49,0.737,3.2,252.5,1504
"2024-08-14 07:00:00",307,19.96,98.8,949.7667,0.387,2.5,328.6,1552
"2024-08-14 08:00:00",308,22.01,91.4,949.66,0.76,2.7,335.9,1513
"2024-08-14 09:00:00",309,24.6,81.6,949.5566,0.87,2.7,34.35,1533
"2024-08-14 10:00:00",310,27.43,69.33,949.4434,0.75,2.2,38.06,1491
"2024-08-14 11:00:00",311,29.34,60.48,949.27,0.887,2.8,12.82,1492
"2024-08-14 12:00:00",312,30.49,58.56,949.1133,1.117,4.5,33.8,1487
"2024-08-14 13:00:00",313,30.94,55.83,948.6833,1.243,4.3,14.98,1495
"2024-08-14 14:00:00",314,31.25,54.53,948.3433,1.27,4.4,339,1561
"2024-08-14 15:00:00",315,31.49,54.12,947.9933,1.23,4.5,4.569,1510
"2024-08-14 16:00:00",316,31.4,54.58,947.7133,1.243,4.3,309.7,1441
"2024-08-14 17:00:00",317,30.85,56.17,947.57,1.097,3.9,316.9,1517
"2024-08-14 18:00:00",318,29.48,61.72,947.4933,1.12,4.9,294.1,1541
"2024-08-14 19:00:00",319,26.49,73.16,947.76,0.787,3.2,229.9,1473
"2024-08-14 20:00:00",320,24.34,83.2,948.03,0.813,2.3,157.9,1506
"2024-08-14 21:00:00",321,23.13,89.5,948.6433,0.7,1.7,156,1528
